COUNTDATE,HOUR0,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,HOUR13,HOUR14,HOUR15,HOUR16,HOUR17,HOUR18,HOUR19,HOUR20,HOUR21,HOUR22,HOUR23,DAY_OF_WEEK,WEEKEND
2024-01-01,6968,6961,5520,3249,1895,1909,2624,3213,4219,6403,8899,11369,11822,12216,12444,11899,11182,10743,9656,7423,5912,6644,3503,2230,1,0
2024-01-02,1296,963,783,1071,2340,7068,13740,15257,14981,13680,13669,14275,14503,14766,15571,14772,14436,14609,13227,9107,7174,6523,5393,2335,2,0
2024-01-03,1483,1035,880,1128,2524,7558,14404,15717,15443,14568,13974,14524,14588,14757,15792,14721,13120,12895,12622,9924,7913,6322,4147,2600,3,0
2024-01-04,1659,1108,926,1113,2445,7485,14325,14198,15887,14908,14672,15099,15113,14540,13910,14788,14155,12568,12764,9806,7802,6446,4392,2807,4,0
2024-01-05,1774,1215,963,1142,2332,6676,12929,14503,14899,14487,14650,15261,15365,15819,15530,14596,13935,12835,9871,10361,8856,9411,7545,4698,5,0
2024-01-06,3240,2129,1685,1218,1491,3126,5209,7080,9305,12089,14219,15164,15952,16111,15663,15621,15282,14156,8896,10368,9775,8826,7844,5190,6,1
2024-01-07,3374,2422,1976,1214,1143,2157,3901,4732,6261,9487,12097,13497,14918,14695,14704,14437,14200,14320,11334,8882,9166,6452,4053,2480,7,1
2024-01-08,1454,1062,952,1192,2205,5611,10007,11784,12681,11686,11287,11894,12276,12560,14058,14530,14108,14343,11740,7899,6360,6179,5627,2259,1,0
2024-01-09,1349,951,845,1125,2434,7478,14037,15222,15549,14831,14682,14628,14783,14023,15132,14079,12679,12296,12503,9799,8354,7275,4262,2401,2,0
2024-01-10,1405,956,869,1173,2489,7834,14844,15917,15350,14835,14263,13919,14347,15278,15643,14497,13437,12934,11673,10913,8647,7333,5761,4362,3,0
2024-01-11,1710,1087,923,1149,2457,7460,13687,15150,16589,15242,14648,14901,14944,15406,16058,15108,13493,13292,13790,10563,8641,7609,4845,3189,4,0
2024-01-12,1817,1231,1104,1148,2257,6568,12852,12749,11917,13359,14840,15737,13712,14294,14988,14212,13263,13269,14323,12376,9526,9387,9191,5619,5,0
2024-01-13,3079,2194,1798,1315,1398,2454,3822,4954,6381,9298,10895,11582,12429,13560,13881,13628,13634,10156,10460,8900,7832,8272,6600,4476,6,1
2024-01-14,2892,2017,1427,988,1058,1872,2994,3740,5269,7593,10053,11561,13604,13169,12606,12420,13950,11307,10163,8156,6595,6114,4126,2710,7,1
2024-01-15,1710,1280,947,988,1783,4663,7914,8933,8834,7577,8645,8599,8408,8988,9787,9410,9186,9024,7304,5451,4616,3885,2856,1901,1,0
2024-01-16,1189,820,734,1047,2072,5444,10532,13096,13058,13023,13215,12854,13787,14353,13991,14491,12584,12583,12298,9508,8047,6937,4053,2296,2,0
2024-01-17,1450,992,833,1180,2450,7575,14568,16443,15521,14725,14337,14469,14820,15296,14956,13431,12689,11101,12914,10481,8687,7349,4599,2636,3,0
2024-01-18,1560,1085,943,1165,2415,7820,15068,15766,15327,14801,14851,13349,14340,15219,14716,13686,12303,11368,12805,10829,8928,7984,4959,3223,4,0
2024-01-19,1823,1322,1056,1188,2319,6952,13706,14915,15005,14528,14555,15118,15582,15159,15163,14113,13236,12539,13335,12077,9981,9517,7378,5457,5,0
2024-01-20,3329,2517,1942,1314,1494,3822,6164,7982,10289,13304,15249,15430,15823,15969,15271,15787,15285,14963,14568,11976,10248,10604,8484,6139,6,1
2024-01-21,4050,3298,2383,1439,1354,2331,4051,4927,7174,10482,13086,14838,16060,15162,13627,15249,16003,13538,11609,9409,8825,6096,3810,2390,7,1
2024-01-22,1497,1041,909,1151,2518,7748,14578,16361,15681,14681,14381,14200,14441,14930,14798,14144,13211,12672,13083,9574,7429,5657,3659,2173,1,0
2024-01-23,1286,935,842,1121,2567,7809,15205,16127,15263,14032,14956,14760,15104,15371,13986,14123,12720,12090,12933,10412,8490,7265,4284,2464,2,0
2024-01-24,1418,1007,900,1147,2480,7558,15365,16650,15394,14533,14679,14804,15478,15866,14707,14058,13158,12999,14566,11491,8752,7484,7097,2985,3,0
2024-01-25,1603,1083,903,1181,2468,7921,15154,15801,15431,14824,15380,15621,15505,16039,14874,14446,12916,12362,12442,11139,9447,8012,5028,2925,4,0
2024-01-26,1796,1346,1075,1255,2379,6608,12727,14020,14183,13935,13901,15204,15145,15500,15242,14922,14632,14688,12656,11697,9590,10509,8695,5070,5,0
2024-01-27,3285,2446,1941,1258,1547,3538,5309,7689,10483,13414,14790,14228,15676,16409,16247,15759,15067,15304,14152,12406,10836,9988,7937,5702,6,1
2024-01-28,3968,3126,2236,1463,1312,2473,3879,5156,7326,10577,13261,13249,15186,14891,14567,14554,14486,13451,11704,9345,9535,6135,3797,2230,7,1
2024-01-29,1443,1036,887,1156,2489,7778,13996,16632,15593,14672,14407,14546,15150,14980,15410,14479,13274,13532,12706,9946,7551,7789,4661,2280,1,0
2024-01-30,1445,938,869,1152,2559,8087,15659,16267,15527,14830,15365,14890,15353,15548,14981,13833,11296,10236,13124,10839,8599,6870,4596,2388,2,0
2024-01-31,1381,964,891,1199,2562,8068,15488,16312,15760,15216,15282,15122,15629,15910,15155,14292,12989,12920,13619,11283,9163,7310,4905,2664,3,0
2024-02-01,1616,1093,967,1248,2544,8145,14188,13925,15683,15217,14950,15358,15528,15475,15164,13915,11304,12109,13818,11364,9419,7711,5633,3023,4,0
2024-02-02,1897,1425,1130,1290,2563,7400,14131,15961,15594,14025,14747,15638,15145,14453,15081,14494,14218,14192,13844,12223,9690,10890,8089,5189,5,0
2024-02-03,3304,2511,1924,1395,1545,3197,4432,6339,8351,10240,9754,9462,9880,9614,9070,9028,8923,8875,7729,6560,5781,5159,4497,3564,6,1
2024-02-04,2496,1884,1612,1114,1153,2362,3404,4211,5769,8505,11376,12965,14260,14637,14600,14627,14264,13552,12011,9495,9040,7522,4559,2442,7,1
2024-02-05,1495,994,897,1104,2445,7167,14031,15644,15616,14740,14126,14205,14084,14445,15506,14341,14155,13991,13667,9706,7525,6044,4460,3721,1,0
2024-02-06,1528,959,819,1112,2574,7934,15683,16795,16362,15770,14268,13190,14566,14135,13923,14171,13313,12582,13336,10710,8433,6727,4397,2343,2,0
2024-02-07,1400,921,783,1215,2480,8198,15795,16842,16007,15584,15148,15344,15574,16083,15479,14413,13262,13401,13911,11226,9107,7577,4772,2668,3,0
2024-02-08,1578,1096,938,1143,2620,8037,15415,17286,16505,15491,15193,15046,15669,15339,15025,14346,12669,12545,13420,11469,9755,7943,5528,3420,4,0
2024-02-09,1937,1321,1218,1282,2492,7303,13879,15251,14535,14580,14844,14778,15112,15028,15071,14041,13934,14260,14438,11652,10027,9583,6746,4864,5,0
2024-02-10,2968,2234,1755,1253,1508,3038,4122,5950,7789,9515,11406,12370,12578,12030,12734,14276,13068,12130,8921,8631,7516,7518,6020,4446,6,1
2024-02-11,2843,2308,2055,1245,1206,2267,3554,4353,6283,9582,12323,14186,14310,14379,15792,15603,13287,9056,7945,7729,6330,14061,6292,2895,7,1
2024-02-12,1745,1142,992,1198,2363,7435,14606,16657,15642,14431,14272,14600,14630,14951,15374,14744,14187,13816,11946,9456,7779,5952,3687,2265,1,0
2024-02-13,1281,935,850,1150,2480,8129,15658,16517,15968,14881,15005,15008,15659,15535,14525,14334,12496,11007,13705,11725,9257,7703,5421,4125,2,0
2024-02-14,1693,1024,936,1186,2498,8165,15774,16875,16164,15144,14799,14856,15699,15400,15320,13900,12550,13145,13998,11782,9474,9600,6486,3721,3,0
2024-02-15,2064,1262,1059,1297,2608,8139,15476,17095,16224,15716,15264,14950,15625,15603,15503,13932,12513,13392,14353,11973,9830,8709,5352,3275,4,0
2024-02-16,1947,1260,1080,1222,2322,7046,13023,14284,15067,14989,14201,14328,15501,15256,14226,12648,11464,11488,10949,9155,7270,6460,5199,3734,5,0
2024-02-17,2236,1835,1451,1128,1346,2718,4146,5801,8195,11553,13400,14977,15239,15416,14845,14993,15499,14574,14091,12405,10434,9798,8109,5820,6,1
2024-02-18,3877,2945,2369,1344,1263,2216,3409,4776,7359,10777,13738,15308,15219,14189,16171,14664,14986,14186,12679,12062,8162,6806,4553,2848,7,1
2024-02-19,1720,1273,983,1097,2273,7092,13560,15250,14722,14537,14887,15020,15142,13153,15202,14108,14006,14173,13067,9889,7652,5902,3680,2300,1,0
2024-02-20,1303,873,865,1152,2551,8139,15844,16356,15807,15547,15270,15082,14705,15424,15171,14365,13855,13524,13944,7137,8588,8410,5737,2620,2,0
2024-02-21,1563,1008,936,1190,2625,8280,16183,16840,15623,15553,15619,15549,15166,15795,15162,13112,12213,13073,13395,12155,9945,7894,4927,2949,3,0
2024-02-22,1593,1124,984,1189,2587,8295,15591,16892,15579,14841,15089,15135,15704,15945,13643,14211,12647,12920,14747,11826,9753,9942,5644,3287,4,0
2024-02-23,1943,1463,1218,1256,2495,7511,14262,15594,15416,14556,15035,15584,15173,15043,14905,13933,12627,13525,13872,12897,10297,10098,8502,5561,5,0
2024-02-24,3488,2622,2000,1293,1520,3456,5531,8361,11582,14150,15048,15620,15929,15927,15735,16074,16017,15919,14765,13636,12001,10941,8700,6110,6,1
2024-02-25,4409,3309,2604,1473,1322,2380,4166,5611,7886,11716,14304,15483,15849,15468,15371,16007,15667,14541,13200,10953,8314,6682,4859,3048,7,1
2024-02-26,1713,1238,974,1203,2424,7602,15082,17029,15982,15389,14598,14891,15200,15149,15779,14455,13856,13875,13272,10293,7887,5860,4002,2444,1,0
2024-02-27,1475,1048,898,1192,2545,7986,15638,17525,14354,11272,12447,13278,13750,14113,15662,15348,15081,14962,14540,10651,8226,6908,6830,2868,2,0
2024-02-28,1511,956,905,1078,2501,7779,15469,16456,16226,15110,15240,15429,15181,14734,14970,13857,12341,12479,13941,11878,9666,9669,5552,3117,3,0
2024-02-29,1820,1215,1008,1168,2444,7900,15922,16257,16167,15180,15181,15512,15407,14705,14448,12714,12535,12393,13307,13457,10202,8482,7488,4699,4,0
2024-03-01,2236,1521,1383,1320,2438,7396,14512,16077,15023,14530,15126,15160,14533,12202,12900,13341,12489,12681,13833,12791,10720,9604,8191,5487,5,0
2024-03-02,3672,2774,2229,1442,1538,3289,5957,8919,11934,14541,15491,16025,15422,15619,15054,15314,12202,12804,13459,12825,10832,10789,9235,7053,6,1
2024-03-03,4017,3134,2609,1437,1258,2144,3826,5263,7562,11292,13980,15604,16191,16013,14489,14334,14907,13833,13187,11183,8656,6684,4677,3536,7,1
2024-03-04,3127,1298,1021,1245,2413,7793,15183,17104,16006,14908,14685,14925,15130,15402,15547,14487,13867,14528,14186,9939,7832,7407,5289,2441,1,0
2024-03-05,1470,1016,900,1095,2508,7948,16085,16963,14663,15628,15087,15213,15321,14932,15332,14610,13434,13577,14588,10840,8430,7089,6350,3632,2,0
2024-03-06,1646,1108,918,1136,2576,8127,15704,16912,16329,15593,14758,15484,15640,15719,14875,13918,13213,13851,14899,11072,8607,7814,6873,4111,3,0
2024-03-07,1722,1194,1007,1236,2518,7829,15815,14191,16653,15602,15596,15833,15406,15077,14403,13333,12486,13072,14769,12629,9299,8370,7337,4667,4,0
2024-03-08,1975,1465,1258,1247,2257,6474,12741,13625,14002,13728,14305,14615,15220,15373,15058,14753,14962,14615,13975,13043,10389,9862,10028,5901,5,0
2024-03-09,3360,2615,2025,1284,1496,3573,5692,8455,11446,14139,14935,14854,15458,14720,12805,14037,15178,15964,15124,9710,8199,10586,9887,7313,6,1
2024-03-11,1902,1260,1017,1204,2501,7664,14596,15579,16323,15093,14561,14551,15039,14961,14750,13312,11555,13638,11966,10892,8715,8259,5073,2680,1,0
2024-03-12,1597,1073,950,1178,2503,8125,15274,15757,15797,15403,15014,15065,14960,15145,14595,13211,11501,12010,14412,12416,10235,7881,5395,3061,2,0
2024-03-13,1846,1133,921,1261,2617,7926,15144,16922,16404,15785,15564,15726,14996,15174,13572,12454,10147,9164,11457,9725,7809,6570,4262,2591,3,0
2024-03-14,1422,1111,1026,1005,1437,2683,3815,3787,3362,3298,3380,3710,4183,4317,4650,4836,4867,4372,3868,3069,2599,2245,1945,1411,4,0
2024-03-15,1057,865,812,1038,1675,3875,6618,8530,9312,10077,10817,11757,12792,13413,14570,15065,15355,14969,13960,11114,8912,8824,7292,5110,5,0
2024-03-16,3434,2435,2003,1377,1633,3112,4786,7539,10083,13036,14465,15411,15159,15325,15290,15375,16019,15711,15354,12270,10639,10544,9128,6262,6,1
2024-03-17,4638,3677,2863,1558,1380,2308,3741,4663,6749,10150,13040,15150,15730,15765,15731,15721,15099,14061,12426,10233,9016,6849,5011,3030,7,1
2024-03-18,1919,1341,1113,1264,2465,7579,14136,16154,16177,14306,14229,14953,14424,14033,14809,14154,13544,13879,12817,10537,8570,6709,4498,2734,1,0
2024-03-19,1552,1041,914,1199,2546,7784,15168,16726,16284,15262,15152,12544,12774,14105,14696,13714,12915,12893,13730,12450,10069,7823,5564,3046,2,0
2024-03-20,2680,1993,1021,1219,2658,7855,15327,16688,16188,15505,15353,15352,14676,14934,14720,14017,13438,13361,14264,12885,10515,8095,5820,3993,3,0
2024-03-21,3074,1453,1120,1273,2554,7722,15179,16349,15592,15058,13748,13953,12668,14864,14324,13562,11666,12092,14087,13065,10647,10237,6865,3783,4,0
2024-03-22,2197,1540,1225,1232,2448,6504,13157,15334,15651,14647,15065,14600,14676,14588,13553,13612,13849,14483,15425,13489,11699,10788,8893,5662,5,0
2024-03-23,3669,2704,2197,1406,1634,3102,5589,8689,11284,14611,15822,15572,15259,14529,15678,15725,15463,15960,15628,13224,11190,10958,8817,6229,6,1
2024-03-24,4254,3450,2775,1587,1434,2072,3641,4981,7220,10998,14256,15757,15637,15552,15742,13702,13522,11737,10148,7264,5686,4330,3039,2048,7,1
2024-03-25,1348,1051,1002,1153,1974,4920,8364,10597,10564,11079,11843,12285,12631,13051,14380,14875,14255,14939,12396,8719,7436,7480,4490,2623,1,0
2024-03-26,1471,1027,877,1131,2459,7532,14696,16931,15691,15307,15274,15259,15351,14908,14756,14054,13384,13329,15102,11372,9085,8385,6431,2931,2,0
2024-03-27,1623,1092,908,1179,2474,7899,15270,16552,16281,15370,15139,15775,15119,15195,14926,13725,12148,13190,15059,13048,9978,8130,7238,3670,3,0
2024-03-28,1909,1359,1096,1290,2521,7922,15156,13496,13090,15938,15058,15786,15658,15463,14944,13245,13429,14141,15303,12732,10866,8950,8304,3885,4,0
2024-03-29,2201,1552,1318,1300,2395,6977,13692,15065,15350,14958,15277,15525,15134,15331,14420,13642,12228,11782,14748,13320,11052,10591,8159,5460,5,0
2024-03-30,3693,2800,2126,1429,1568,2778,5328,8329,11401,14483,15500,15222,15193,15347,15384,15816,15119,16103,15540,14595,11695,10461,9138,6594,6,1
2024-03-31,5002,3344,2676,1562,1508,1810,3051,4819,7156,11640,14941,15428,16293,15138,15499,15891,15789,15513,12252,11924,10770,7638,4766,2955,7,1
2024-04-01,1791,1140,1021,1155,2483,7410,14724,17139,16309,15413,15139,15171,15601,13953,14342,14667,12263,13283,12217,9087,7865,5793,4013,2333,1,0
2024-04-02,1390,1015,920,1145,2538,7800,15511,16985,16109,15470,13195,13911,14726,15219,13869,14045,12814,12859,15236,12162,10190,9766,6266,3330,2,0
2024-04-03,1765,1159,948,1272,2668,8243,15872,16370,16154,15721,15485,15709,15541,15184,15651,14791,12724,12736,15028,12730,10787,8964,6120,3238,3,0
2024-04-04,1674,1212,1068,1225,2515,8078,15741,16650,15526,14975,15434,15596,15241,14841,14363,13833,12714,11058,15615,13368,11216,9350,7828,4056,4,0
2024-04-05,2570,1645,1292,1295,2574,7282,14328,16670,15320,15761,15275,15212,14953,15091,14348,13750,13507,14298,15097,14159,12053,11889,9739,6581,5,0
2024-04-06,4699,3349,2552,1630,1597,2794,5759,9082,11786,14606,15997,16377,15383,15657,15848,15163,15457,15175,14235,12090,11123,10974,6683,6600,6,1
2024-04-07,4079,3160,2400,1444,1323,1981,3363,5344,7774,11506,14175,16118,15936,15505,15759,16033,16141,15266,13987,12246,9102,7429,6855,4560,7,1
2024-04-08,1937,1225,1012,1199,2549,7769,15184,15555,15036,14848,14357,14457,14661,14494,15386,14129,13927,12163,13021,10643,8469,6928,4931,2592,1,0
2024-04-09,1524,988,934,1173,2640,8314,16052,16792,15571,15176,14935,14493,15461,14230,14939,14290,13437,13561,15073,12555,10165,8578,7514,3407,2,0
2024-04-10,1692,1145,985,1207,2582,8124,16116,17026,16103,15490,15782,15271,15320,15469,14998,13556,11768,12512,14888,13245,10541,8363,6978,4579,3,0
2024-04-11,1965,1237,991,1264,2638,8064,15890,16754,15958,16046,15515,15665,14829,15850,14823,13524,11862,13356,14426,13014,11178,9175,6449,3771,4,0
2024-04-12,2297,1562,1265,1322,2540,7291,14746,16036,15587,15385,14835,15040,14641,14379,13143,13372,12854,13478,14246,13491,11945,11245,9232,5974,5,0
2024-04-13,4063,2885,2284,1481,1581,2918,6156,9960,12646,14029,14167,11527,15788,15924,15471,15435,15168,14857,15160,14038,12498,11221,9854,7242,6,1
2024-04-14,5367,3405,2914,1605,1431,2068,3942,5977,8667,12305,14391,15916,15605,15659,14272,14520,14940,15261,13688,11579,9945,7680,5346,3093,7,1
2024-04-15,1882,1318,1025,1213,2601,7993,15476,16853,15851,15204,14748,14820,15024,15006,14616,14014,14093,14895,14108,10815,8692,6449,4405,2648,1,0
2024-04-16,1510,1013,832,1160,2502,7823,15305,17641,16801,15362,15525,15113,14987,15285,13935,12557,13886,14413,14358,11862,9749,7923,5440,3065,2,0
2024-04-17,1728,1097,949,1198,2693,8384,16102,16580,15309,15881,15770,15727,15630,15313,14568,13341,12852,13437,14465,12649,10767,8660,5787,3378,3,0
2024-04-18,1896,1255,1052,1292,2558,7856,15304,16905,15450,14479,14013,13871,15093,14441,13946,14257,13096,13372,14442,11916,9871,8434,8067,3786,4,0
2024-04-19,2218,1511,1107,1284,2408,7082,13869,15966,15576,15155,15236,15119,15111,14460,13918,13391,11514,11818,12447,11861,9678,8392,8110,5455,5,0
2024-04-20,3437,2498,1995,1397,1384,2500,4593,6952,9502,11767,14191,14542,15536,14029,13161,14911,15548,15480,14447,11965,10645,12548,9503,7171,6,1
2024-04-21,4549,3387,2587,1543,1436,1898,3467,5183,7770,11227,14074,16315,15841,16025,15542,15191,16246,15834,13777,11527,10580,8254,5799,3858,7,1
2024-04-22,2081,1371,1112,1283,2593,7968,15960,17501,15621,13786,14006,14869,14401,14569,15315,12008,13539,14473,14441,12086,9553,7847,6406,5016,1,0
2024-04-23,1913,1182,977,1200,2657,8330,16346,17370,16134,15927,15409,15260,15311,15449,15281,14401,12983,13387,12587,9833,10006,8531,5990,3268,2,0
2024-04-24,1896,1134,923,1257,2738,8463,16151,16708,15438,15438,15230,15309,15226,14787,14750,13530,12685,13482,14215,12325,11375,9981,7035,4131,3,0
2024-04-25,2162,1402,1127,1310,2702,8404,15441,16204,15173,15605,15283,15654,14346,13687,14151,12539,10885,11148,13470,13140,10950,8762,7008,4493,4,0
2024-04-26,2541,1674,1340,1312,2616,7665,15040,16115,14420,14723,15072,15315,14852,14616,13452,12370,10769,11954,13749,12690,10308,8902,8936,7700,5,0
2024-04-27,3894,2867,2311,1300,1456,2458,4481,6748,8971,11386,11867,12249,12840,13450,13066,13774,14337,14751,12986,10177,9486,10950,8845,5973,6,1
2024-04-28,3822,2929,2363,1358,1352,2333,3863,5243,7423,11351,14871,15547,15785,15026,14730,16284,15172,15313,12894,11116,9847,7545,5755,3502,7,1
2024-04-29,2146,1296,1108,1214,2611,8160,15325,15106,15464,15249,14320,14506,13393,14909,15591,14503,14092,14238,14574,12013,9022,6664,6492,4427,1,0
2024-04-30,1810,1128,964,1176,2681,8537,16008,16476,16015,15298,13468,14880,15406,14852,14485,13894,11882,11940,14559,12428,9812,7254,6383,3704,2,0
2024-05-01,1968,1246,1004,1210,2630,8685,16083,16794,15762,15212,14880,14048,13897,14138,13150,13602,12515,12905,14770,11151,10530,8324,5717,3318,3,0
2024-05-02,1998,1264,1018,1278,2671,8371,16130,16793,15829,14298,15084,14979,14444,13788,14911,13901,13254,12712,11841,11793,11069,9312,6504,4063,4,0
2024-05-03,2228,1491,1196,1347,2614,7709,14796,16336,15899,15424,15197,15120,15207,14803,14403,13206,13035,14005,14099,13345,11636,10805,8738,6131,5,0
2024-05-04,3577,2554,2208,1409,1547,2984,6429,10267,13254,15492,15904,15214,14448,15383,15047,15672,15326,15774,15819,14826,13662,11156,9610,7943,6,1
2024-05-05,4965,3599,2807,1622,1399,2108,3888,6324,9193,13076,15200,16181,15863,15690,15625,15435,14730,14210,13978,11635,10290,8498,6015,3669,7,1
2024-05-06,2110,1488,1171,1196,2191,6829,14456,16053,15170,14682,14713,14416,14814,15126,14844,14605,14355,15207,14289,10997,8200,6567,6878,3322,1,0
2024-05-07,1665,1121,1006,1154,2670,8388,16426,16781,16623,15530,14745,15359,15488,15667,14260,14016,12259,13401,13985,11727,10512,8771,5617,3554,2,0
2024-05-08,1820,1177,956,1218,2666,8668,15959,16575,16173,15690,15692,15769,14937,14734,14529,13933,12195,13153,14692,12251,11025,9486,6358,3500,3,0
2024-05-09,2043,1317,1020,1315,2733,8332,16230,17200,16861,15176,15301,14662,14115,14882,14402,13428,11778,12338,14905,12905,11073,9190,6443,3837,4,0
2024-05-10,2187,1535,1224,1340,2470,7275,14497,14587,13594,14673,15121,14995,15025,14909,14466,13694,13521,14352,15047,14395,12280,11705,9972,7142,5,0
2024-05-11,4376,3240,2504,1584,1617,3029,6333,10114,12983,14651,15699,13998,13204,13944,14104,14847,15218,15480,15593,14561,12516,12478,11062,5685,6,1
2024-05-12,4479,3356,2955,1829,1441,1961,3404,5322,7711,11515,13242,12459,14045,13891,15608,15273,15268,13635,12824,11219,9717,8352,5225,3414,7,1
2024-05-13,2245,1320,1053,1245,2618,8415,16036,16627,15773,15077,14721,14750,14782,14839,14944,14227,13817,14700,14727,11626,9366,7405,7859,3475,1,0
2024-05-14,1770,1191,951,1283,2717,8865,16473,17159,15932,15571,15069,15303,14192,13487,14687,13167,11283,11938,13849,13212,10688,7630,5460,6275,2,0
2024-05-15,2641,1361,1022,1282,2762,8740,16175,16959,16330,15349,14639,14896,14533,15048,15228,14192,13395,13042,14465,12891,10409,8523,5994,3531,3,0
2024-05-16,1864,1194,1038,1327,2747,8569,15864,15854,15612,14651,14638,13945,13016,14073,13207,12957,12110,12488,13987,12464,11327,10086,6737,3908,4,0
2024-05-17,2345,1614,1250,1349,2674,8040,14834,15695,14360,14471,13932,14247,14493,13216,13353,12906,12362,13051,14620,14455,12267,11384,8801,7921,5,0
2024-05-18,7262,3380,2417,1543,1656,3208,6710,10301,12680,14487,14745,14984,14939,14699,14115,14602,14631,14841,15598,13714,11875,10946,9859,9515,6,1
2024-05-19,6170,3642,2911,1698,1690,2725,4948,7184,10353,13339,14108,15104,14284,15227,14961,15424,16211,15652,13431,10740,11029,9783,6017,4233,7,1
2024-05-20,2150,1436,1140,1266,2708,8522,15494,16184,15517,14716,14124,15096,14704,14931,14836,13972,13031,13113,13028,11112,9184,7394,5592,4528,1,0
2024-05-21,1830,1156,983,1210,2688,8805,15920,16650,15478,14159,14665,14056,14553,12057,11475,12761,11939,12988,13739,11282,9628,7905,5650,3372,2,0
2024-05-22,1898,1183,989,1265,2730,8864,15923,15887,15575,15039,14356,14909,15045,13889,14509,13681,11896,12104,14097,12599,11445,9455,6557,3595,3,0
2024-05-23,2011,1293,1080,1292,2713,8600,15807,16333,15973,14791,13977,13987,13853,13980,13630,13638,12148,12157,13743,12665,11511,9277,6706,3980,4,0
2024-05-24,2671,1896,1382,1537,2579,7519,14278,15422,13123,13787,12956,12854,14439,13917,13752,12459,12427,13827,14813,13305,11297,10534,9444,6081,5,0
